"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"1","A.J. Minter","RP","RP81",5.87550002243286,1.22370303354579,3.886215,64.31475,1.082,3.3754341755772,1.15393215946577,57.2637,10.1081968157838,3.37839896412522
"2","A.J. Puk","RP","RP41",16.2253117445768,3.91913755782227,4.457935,75.369125,17.985,3.32028410801521,1.17241590556709,62.029225,10.9355247466013,3.52727857727858
"3","AJ Smith-Shawver","SP/RP","SP/RP453",-16.1116711213509,4.40114125188692,6.9483375,125.819325,0,4.32904794292044,1.33135212105834,122.071725,9.27629985567911,2.45105485827998
"4","Aaron Ashby","SP/RP","SP/RP362",-12.0384902626106,1.53878519116941,3.23956666666667,53.5802,0,4.01686920979409,1.42473544408826,53.8733,8.95103511386902,1.94231794009215
"5","Aaron Bummer","RP","RP102",2.71204872929776,3.82341437911513,3.969625,68.373575,1.014,3.16592059012284,1.28817938636529,59.75705,10.2977334891866,2.80109649594473
"6","Aaron Civale","SP","SP450",-15.9722056569937,6.53324277165648,7.09898,123.324,0,4.45545489799799,1.27326786759688,134.0905,8.27736491399465,3.04386270728885
"7","Aaron Nola","SP","SP57",11.3343487268556,3.35307979893134,11.52075,182.462,0,3.96108379927654,1.17689771303683,184.393,8.90575021828377,4.12080888563672
"8","Abner Uribe","RP","RP202",-5.79432422031299,2.16619247718892,2.473355,60.2794,0,3.59403361500551,1.33953469109127,52.516725,10.3303204836174,2.0052810473606
"9","Adam Mazur","SP","SP460",-16.3174250658013,3.73892878619124,1.749855,26.07655,0,4.82198187044747,1.36872892446585,35.3787,6.63362277302445,2.4416702559973
"10","Adam Oller",NA,"NA503",-20.1339654529006,NA,1.04176,28.6089,0,5.40190071712038,1.50998804799369,34.4712,7.46942665181369,1.80079688798248
"11","Adrian Morejon","RP","RP142",-1.77623044370943,1.91097688841502,2.815165,60.91425,1.03,3.65561759920255,1.2366986974216,59.138475,9.27024665414521,3.0078103300781
"12","Albert Suárez","SP/RP","SP/RP463",-16.3695731188707,7.73055875119779,2.47166666666667,41.3846,0,4.32078553139721,1.31956826187209,47.1273333333333,7.90329886407039,2.84006020789108
"13","Alec Marsh","SP","SP501",-20.0018788816246,2.11484024246462,6.247065,101.358675,0,4.56317433215645,1.33985649520546,104.89545,8.69654570336464,2.5870201915788
"14","Alek Jacob","RP","RP281",-9.84194278087538,5.14490172278109,1.8783325,45.50085,0,4.17838459884304,1.29820632815178,46.9679,8.71888353535074,2.63927192258667
"15","Alex Cobb","SP/RP","SP/RP344",-11.46242038432,5.49929852201991,4.94844,73.83315,0,3.94460919166727,1.30657116329728,91.630275,7.25195193400871,2.73903740835718
"16","Alex Faedo",NA,"NA349",-11.6250532721009,1.49329673720459,1.908895,41.2225,0,4.448207245754,1.31407998729471,42.8168,8.6648815418247,2.48514324727997
"17","Alex Lange","RP","RP233",-7.69798865967536,0.334297834328097,2.6266,43.0816666666667,0,3.75924042196831,1.37260012101336,38.0123333333333,10.2002420267106,2.0842001038512
"18","Alex Vesia","RP","RP93",3.4458475554908,3.24781497827644,3.6916825,71.5787,1.1185,3.50887782157789,1.19812596287597,56.487675,11.4044045891427,2.90360391332435
"19","Alex Wood",NA,"NA510",-21.0508138033839,NA,2,31,0,4.88571428571429,1.37142857142857,35,7.97142857142857,2.38461538461538
"20","Alexis Díaz","RP","RP167",-3.44179450740435,4.64801552040419,2.8754575,53.17615,11.8405,4.24259800189517,1.31566073727482,50.470325,9.48250977183127,2.14248906115279
"21","Amos Willingham",NA,"NA416",-14.6736951109242,1.61221777056784,2.288,32.9592333333333,0,4.56415863973275,1.40965266044681,39.0041,7.60517740442671,2.27497515139244
"22","Andre Pallante","SP/RP","SP/RP522",-22.247004476638,2.69092700503943,7.49163,94.657375,0,4.07915379403016,1.40102923667658,130.6065,6.52277164612787,1.82649768618236
"23","Andrew Abbott","SP","SP530",-22.805922066064,3.27771752483539,6.8238075,108.05325,0,4.63580770323925,1.34053803818891,116.107,8.37571593443978,2.53948062661357
"24","Andrew Chafin","RP","RP235",-7.7326734659443,4.56354002032868,2.2653325,45.45495,0,3.87074952502431,1.33712957099066,42.041625,9.73070260723747,2.30115234931182
"25","Andrew Heaney","SP","SP536",-23.7097156727559,9.04314270001191,6.87144,124.53725,0,4.56636024147025,1.33205338977062,134.4265,8.3379039847054,2.84915274497815
"26","Andrew Nardi","RP","RP170",-3.58083975992203,2.22128308284019,1.8206075,46.83805,0,3.65988718046365,1.22204966069511,37.8126,11.1482005998001,3.21249179096672
"27","Andrew Painter",NA,"NA318",-10.8690456240043,12.3172750727129,3.38934,62.41325,0,4.22791439052785,1.25862187523987,62.5328,8.98279382979812,2.92075165310334
"28","Andrew Walters","RP","RP280",-9.82118442799962,1.0170661284502,2.1107,53.8685333333333,0,4.02597819377047,1.3366086284642,48.9218,9.91003601666333,2.25288292106261
"29","Andrés Muñoz","RP","RP16",28.0644259686955,3.50581683797844,4.2137825,78.935425,26.9735,2.80407773759312,1.10340253492859,61.459325,11.559170638467,3.37276825295092
"30","Angel Chivilli",NA,"NA442",-15.8226711451774,3.90778994968936,2.4649525,48.4059,0,4.68632312913373,1.36490438224866,52.619675,8.27928146648568,2.62989785939368
"31","Angel Perdomo",NA,"NA207",-5.98077998806333,3.12311090039048,2.743095,65.2665,0,3.94752436407728,1.30791706208555,50.4739,11.6376681809807,2.46677312369488
"32","Angel Zerpa",NA,"NA229",-7.14491063551015,5.83044513177062,2.629825,50.135275,1.019,3.83460875197902,1.30304730878626,58.0463,7.77340631530347,2.64684120359738
"33","Anthony Banda","RP","RP293",-10.0677508807569,3.35331441904684,2.7965125,55.170375,0,4.08817445790914,1.34522776231332,54.812075,9.05883192708906,2.60569167608313
