"","player_name","position_group","position_group_rank","position","dollars","dollars_sd","h","hr","r","rbi","sb","avg","ab","hr_per600","r_per600","rbi_per600","sb_per600"
"1","Juan Soto","OF",1,"OF",56.6786185313426,3.68916903132169,147.4756,35.95224,107.5204,100.00682,10.64882,0.2787903901783,528.9838,40.7788367053963,121.955039076811,113.432759188467,12.0784265983193
"2","Mookie Betts","MI/OF",2,"2B/SS/OF",50.5158254243793,1.39344542413996,160.7016,32.68996,109.6386,96.74644,13.32268,0.282542725590626,568.7692,34.484947497157,115.658794463554,102.058733138152,14.0542209388272
"3","Vladimir Guerrero Jr.","CI",1,"1B",43.3590347227092,4.45174973210435,166.2286,32.73938,92.83072,100.70504,6.093568,0.285325530971203,582.5928,33.7175948621404,95.6043946990076,103.713990286183,6.2756367740899
"4","Trea Turner","MI",1,"SS",40.8568224696294,4.14144660087169,171.4982,23.03342,95.89222,83.68232,29.25444,0.281539299030378,609.1448,22.6876302645939,94.4526358921557,82.4260372903126,28.8152570620319
"5","Pete Alonso","CI",2,"1B",36.9043640597723,3.16422163672197,140.4512,40.08436,88.2409,108.339,4.04419,0.249794314946945,562.2674,42.7743383308369,94.1625639331037,115.609405773836,4.31558720992894
"6","Mike Trout","OF",3,"OF",27.4938715131833,17.2993215784323,118.848,31.86668,80.39364,84.29682,2.671032,0.263328968446521,451.329,42.3637922668386,106.875879901358,112.064795304534,3.55088904103215
"7","Teoscar Hernández","OF",4,"OF",27.1382583505453,6.56708124227397,138.0028,27.48486,75.94686,88.3269,7.98213,0.262852763155038,525.0194,31.4101078931559,86.7932042130253,100.941298550111,9.12209720250337
"8","Manny Machado","CI",3,"3B",25.843225919951,3.0806061438646,147.5754,28.97212,81.07688,92.31752,6.789656,0.268775436386677,549.0658,31.6597245721733,88.5979931731315,100.881373416447,7.41949981222651
"9","George Springer","OF",5,"OF",19.8764717880368,5.21607653842886,136.2034,22.51004,81.20304,71.51588,13.9558,0.256533531222101,530.938,25.4380436133786,91.7655620806949,80.8183403711921,15.771106984243
"10","Cedric Mullins","OF",6,"OF",16.6297108468835,3.01736215244784,129.4758,18.80196,76.4561,63.63176,28.20202,0.24845640396622,521.1208,21.6479096593343,88.0288409136615,73.2633508391912,32.4708052336426
"11","J.T. Realmuto","C",1,"C",16.4954545455004,6.73326644013733,120.3502,19.6252,68.29166,68.62972,15.2413,0.256205877206166,469.7402,25.0673031603427,87.2290598079534,87.6608644523079,19.4677398272492
"12","Salvador Perez","C/CI",4,"C/1B",16.1192137071215,2.0357170247026,130.1972,25.64932,61.77602,82.44226,0.2286572,0.256054682813799,508.4742,30.2662199970028,72.8957575428606,97.2819387886347,0.269815695663615
"13","Blake Dunn","",1,NA,15.4845423441412,NA,54.60775,8.51705,36.06125,39.059,14.0167,0.241693196770977,225.9383,22.6178120309837,95.763976271398,103.724777959292,37.2226399862263
"14","Nolan Arenado","CI",5,"3B",14.6612248367423,8.02674172104153,145.8264,25.18546,73.18068,89.10784,3.888066,0.260915680447964,558.9024,27.037414761504,78.5618526597846,95.6601796664319,4.17396597330768
