"","player_name","position_group","position_group_rank","position","dollars","dollars_sd","h","hr","r","rbi","sb","avg","ab","hr_per600","r_per600","rbi_per600","sb_per600"
"1","Paul Goldschmidt","CI",1,"1B",21.3990787146463,2.8844634005999,24.03025,4.0133575,13.3262,13.400925,1.1698775,0.258973031197681,92.79055,25.9510747592293,86.1695506708388,86.6527356503437,7.56463346752444
"2","Andrés Giménez","MI",1,"2B",15.8456612559699,3.79517984128818,23.974425,2.0659875,12.02835,10.6913,4.4957225,0.259960465543704,92.22335,13.4412000865291,78.2557779564503,69.5570048149411,29.2489212330717
"3","Jake Meyers","OF",1,"OF",3.07376469927353,4.30612508038334,19.453775,2.6012,10.5935,10.57345,1.8973075,0.24060195709335,80.8546,19.3027978618409,78.6114828346192,78.4626972367682,14.0794030271623
"4","Freddy Fermin","C",1,"C",-0.487523140755324,3.33497672715115,16.12855,1.815245,7.5520575,7.72941,0.0905035,0.258011183622736,62.51105,17.4232715655872,72.4869363096605,74.1892193460196,0.868680017372929
"5","Bryan De La Cruz","OF",2,"OF",-0.64021433041302,4.11688977604556,19.493375,2.61128,8.8976375,9.79975,0.77805725,0.259306617891586,75.175,20.8416095776521,71.0153974060526,78.2154971732624,6.20996807449285
"6","Whit Merrifield","MI/CI/OF",3,"2B/3B/OF",-0.824077194198406,6.43871727637783,19.133925,1.1432425,9.9367,7.6906175,3.7415675,0.261128881200837,73.273875,9.36139244717165,81.366244108149,62.97429336172,30.6376658802336
"7","Francisco Alvarez","C",2,"C",-1.0623510761515,3.05647580219561,13.376675,2.5401475,7.6950875,8.486165,0.11287425,0.226053000467259,59.17495,25.7556364644161,78.0237668134912,86.0448382296901,1.14448005448251
"8","Keibert Ruiz","C",3,"C",-1.44639018169013,3.2832864576398,16.74665,2.053715,7.145065,8.3907725,0.15958475,0.246931902463767,67.8189,18.1694041041657,63.2130423819909,74.2339303645444,1.41186085294807
"9","Max Kepler","OF",4,"OF",-1.71033783058842,1.75720697668328,18.315825,2.84588,10.0227,9.931575,0.17401575,0.247278072357474,74.06975,23.0529737173407,81.1886093850729,80.4504537952403,1.40960986097563
"10","Andrew McCutchen","OF",5,"OF",-1.8958655230283,4.59536851879031,17.55435,2.9767925,10.427275,9.188225,1.0755425,0.237242426003435,73.9933,24.1383409038386,84.553128458928,74.5058674231315,8.72140450554307
"11","Danny Jansen","C",4,"C",-2.16555395134128,2.5121131276062,12.7281,2.4791425,7.583845,8.12142,0.05143285,0.236770915057148,53.757025,27.6705323629795,84.6458114079044,90.6458644242311,0.574059111344052
"12","Kyle Isbel","OF",6,"OF",-3.42657876209011,3.73641452511163,17.753875,1.861995,9.8641,8.1732925,2.345185,0.242502254607988,73.211175,15.2599244582538,80.84093719299,66.9839747825383,19.2198936842634
"13","Geraldo Perdomo","MI/CI",2,"2B/SS/3B",-4.11460090764023,2.5748528749229,20.071075,1.1949725,11.734025,8.2171675,2.7056525,0.244038802158296,82.245425,8.71760952052956,85.6025122370028,59.9461976152473,19.7383805846951
"14","Jonah Heim","C",5,"C",-4.25187601528066,2.54167584066797,13.793825,2.0576,6.8715575,7.7726425,0.12494725,0.23695569736316,58.212675,21.2077524353588,70.8253743707878,80.1128877860363,1.28783551005
"15","J.P. Crawford","MI",3,"SS",-4.27092359435699,4.05380043710398,20.401075,2.02366,11.734875,8.999305,0.92427075,0.238526207855283,85.5297,14.1961914983918,82.3214041438237,63.1310877975721,6.48385823871708
"16","Josh Bell","CI",2,"1B",-4.31649549916579,6.06264133264118,18.653075,2.866675,9.175985,10.470675,0.046183,0.255228674216678,73.083775,23.5347038381638,75.3326028930498,85.9616925918235,0.379151186429546
"17","Bo Naylor","C",6,"C",-4.85048738569258,4.01513344644074,12.3708,2.115225,7.6157675,7.7981575,1.0069025,0.216659456827659,57.0979,22.2273498675083,80.0285211890455,81.9451240763671,10.5808006949468
"18","Charlie Blackmon","OF",7,"OF",-5.33678932614873,6.4586108462279,18.411425,1.8592975,9.5047625,7.7847475,0.98821625,0.263605844552597,69.844525,15.9723113586928,81.6507449939705,66.8749411639638,8.48928029791884
"19","Michael Conforto","OF",8,"OF",-5.40718145455355,1.62957620982307,17.661625,2.8416825,9.4366375,9.90661,0.13106525,0.239772183080307,73.660025,23.1470122362842,76.8664211015405,80.694596560346,1.06759602647433
"20","Mike Yastrzemski","OF",9,"OF",-6.46546602955627,2.6505305740219,16.528825,2.815035,9.6487275,9.25938,0.8952035,0.22923279565661,72.104975,23.4244724445158,80.2890022498448,77.0491633899048,7.44916838262547
"21","Gio Urshela","CI/MI/CI",4,"1B/SS/3B",-6.55464112911069,6.69955763686363,22.075175,1.5551425,9.00125,9.6462775,0.1540935,0.272610348429076,80.977025,11.5228424358638,66.694843383046,71.4741804851438,1.14175718359621
"22","Travis d'Arnaud","C",7,"C",-6.73207094853507,2.48857251649962,11.644525,1.969095,6.31638,6.7785425,0.050593525,0.247797502133337,46.9921,25.1416089087315,80.6481940581502,86.5491327265647,0.645983367417076
"23","Carlos Santana","CI",3,"1B",-6.75694596643207,3.64360985016554,17.7562,2.9449425,9.81665,10.320825,0.49494725,0.230529942848537,77.0234,22.9406323273187,76.4701376464815,80.3975804755438,3.85556012848044
"24","Miguel Rojas","MI/CI",5,"2B/SS/3B",-6.99104677456465,3.79059667809134,20.310225,1.08265625,9.509425,8.5043725,1.9488825,0.260989029522852,77.820225,8.34736406891653,73.3184079074559,65.5693747994175,15.0260359694411
