"","system","player_name","playerid","ip","w","er","h","bb","sv","so","g","gs","team","whip","era"
"1","ratcdc","Tarik Skubal","22267",43,3,15,35,10,0,51,7,7,"DET",1.04651162790698,3.13953488372093
"2","ratcdc","Zack Wheeler","10310",48,3,18,40,12,0,50,8,8,"PHI",1.08333333333333,3.375
"3","ratcdc","Paul Skenes","33677",39,2,14,31,11,0,47,7,7,"PIT",1.07692307692308,3.23076923076923
"4","ratcdc","Chris Sale","10603",42,3,15,34,11,0,52,7,7,"ATL",1.07142857142857,3.21428571428571
"5","ratcdc","Logan Webb","17995",46,3,17,44,10,0,40,7,7,"SFG",1.17391304347826,3.32608695652174
"6","ratcdc","George Kirby","25436",44,3,17,41,6,0,42,7,7,"SEA",1.06818181818182,3.47727272727273
"7","ratcdc","Garrett Crochet","27463",35,2,12,27,12,0,44,6,6,"CHW",1.11428571428571,3.08571428571429
"8","ratcdc","Pablo López","17085",45,3,18,40,11,0,49,7,7,"MIN",1.13333333333333,3.6
"9","ratcdc","Aaron Nola","16149",48,3,21,43,11,0,48,8,8,"PHI",1.125,3.9375
"10","ratcdc","Framber Valdez","17295",49,4,19,44,16,0,46,8,8,"HOU",1.22448979591837,3.48979591836735
"11","ratcdc","Corbin Burnes","19361",46,3,18,39,13,0,47,7,7,"BAL",1.1304347826087,3.52173913043478
"12","ratcdc","Sonny Gray","12768",44,3,17,38,13,0,47,8,8,"STL",1.15909090909091,3.47727272727273
"13","ratcdc","Dylan Cease","18525",43,3,17,34,17,0,53,7,7,"SDP",1.18604651162791,3.55813953488372
"14","ratcdc","Kevin Gausman","14107",44,3,18,41,12,0,48,7,7,"TOR",1.20454545454545,3.68181818181818
"15","ratcdc","Cole Ragans","21846",44,3,18,37,16,0,49,7,7,"KCR",1.20454545454545,3.68181818181818
"16","ratcdc","Logan Gilbert","22250",45,3,18,39,9,0,46,7,7,"SEA",1.06666666666667,3.6
"17","ratcdc","Justin Steele","17312",45,3,18,41,12,0,42,7,7,"CHC",1.17777777777778,3.6
"18","ratcdc","Luis Castillo","15689",45,3,18,39,13,0,46,7,7,"SEA",1.15555555555556,3.6
"19","ratcdc","Zach Eflin","13774",42,3,18,41,7,0,38,7,7,"BAL",1.14285714285714,3.85714285714286
"20","ratcdc","Freddy Peralta","18679",41,3,17,33,15,0,50,7,7,"MIL",1.17073170731707,3.73170731707317
"21","ratcdc","Gerrit Cole","13125",41,3,17,36,11,0,45,7,7,"NYY",1.14634146341463,3.73170731707317
"22","ratcdc","Blake Snell","13543",40,2,15,31,18,0,50,7,7,"SFG",1.225,3.375
"23","ratcdc","Cristopher Sánchez","20778",41,3,17,39,12,0,36,7,7,"PHI",1.24390243902439,3.73170731707317
"24","ratcdc","Max Fried","13743",39,3,15,37,11,0,36,6,6,"ATL",1.23076923076923,3.46153846153846
"25","ratcdc","Michael King","19853",39,3,16,33,14,0,44,7,7,"SDP",1.20512820512821,3.69230769230769
"26","ratcdc","Jack Flaherty","17479",41,3,18,36,13,0,47,7,7,"LAD",1.19512195121951,3.95121951219512
"27","ratcdc","Tanner Bibee","30134",40,3,17,36,12,0,43,7,7,"CLE",1.2,3.825
"28","ratcdc","Ranger Suárez","17277",38,3,15,35,11,0,34,6,6,"PHI",1.21052631578947,3.55263157894737
"29","ratcdc","Zac Gallen","19291",43,3,18,39,12,0,43,7,7,"ARI",1.18604651162791,3.76744186046512
"30","ratcdc","Tyler Glasnow","14374",27,2,10,21,8,0,35,5,5,"LAD",1.07407407407407,3.33333333333333
"31","ratcdc","Bailey Ober","21224",40,3,18,37,9,0,41,7,7,"MIN",1.15,4.05
"32","ratcdc","Seth Lugo","12447",45,3,20,43,12,0,39,7,7,"KCR",1.22222222222222,4
"33","ratcdc","Carlos Rodón","16137",40,3,18,35,13,0,43,7,7,"NYY",1.2,4.05
"34","ratcdc","Mitch Keller","17594",46,3,21,44,14,0,42,8,8,"PIT",1.26086956521739,4.10869565217391
"35","ratcdc","Tanner Houck","19879",39,3,17,37,13,0,36,7,7,"BOS",1.28205128205128,3.92307692307692
"36","ratcdc","Nick Lodolo","26378",37,2,16,34,11,0,41,7,7,"CIN",1.21621621621622,3.89189189189189
"37","ratcdc","Nestor Cortes","17874",37,2,16,33,9,0,37,9,6,"NYY",1.13513513513514,3.89189189189189
"38","ratcdc","Nathan Eovaldi","9132",39,3,16,36,11,0,37,6,6,"TEX",1.20512820512821,3.69230769230769
"39","ratcdc","Shota Imanaga","33829",42,3,17,38,10,0,42,7,7,"CHC",1.14285714285714,3.64285714285714
"40","ratcdc","Chris Bassitt","12304",44,3,19,41,14,0,41,7,7,"TOR",1.25,3.88636363636364
"41","ratcdc","Hunter Brown","25880",38,3,17,35,14,0,40,7,7,"HOU",1.28947368421053,4.02631578947368
"42","ratcdc","Jeffrey Springs","17677",39,2,15,34,11,0,40,10,7,"TBR",1.15384615384615,3.46153846153846
"43","ratcdc","Taj Bradley","22543",40,2,17,34,13,0,44,7,7,"TBR",1.175,3.825
"44","ratcdc","Kutter Crawford","20531",40,2,19,38,12,0,39,7,7,"BOS",1.25,4.275
"45","ratcdc","Jacob deGrom","10954",18,1,6,13,3,0,25,6,3,"TEX",0.888888888888889,3
"46","ratcdc","Yusei Kikuchi","20633",40,2,18,38,13,0,44,10,7,"HOU",1.275,4.05
"47","ratcdc","Brady Singer","25377",41,2,19,40,12,0,36,7,7,"KCR",1.26829268292683,4.17073170731707
"48","ratcdc","Brayan Bello","23920",40,3,19,40,13,0,36,7,7,"BOS",1.325,4.275
"49","ratcdc","Nick Pivetta","15454",38,2,17,33,13,0,44,7,7,"BOS",1.21052631578947,4.02631578947368
"50","ratcdc","Eduardo Rodriguez","13164",36,2,16,34,11,0,33,6,6,"ARI",1.25,4
"51","ratcdc","Clayton Kershaw","2036",33,2,14,30,10,0,32,6,6,"LAD",1.21212121212121,3.81818181818182
"52","ratcdc","Reynaldo López","16400",35,2,15,31,13,0,36,9,6,"ATL",1.25714285714286,3.85714285714286
"53","ratcdc","Sean Manaea","15873",40,2,19,37,14,0,41,7,7,"NYM",1.275,4.275
"54","ratcdc","Erick Fedde","17425",39,2,19,37,12,0,33,7,7,"STL",1.25641025641026,4.38461538461538
"55","ratcdc","Luis Gil","21052",30,2,13,24,14,0,36,9,5,"NYY",1.26666666666667,3.9
"56","ratcdc","Michael Wacha","14078",40,2,18,39,12,0,35,7,7,"KCR",1.275,4.05
"57","ratcdc","Shane Baz","22264",38,2,17,34,13,0,37,7,7,"TBR",1.23684210526316,4.02631578947368
"58","ratcdc","Max Meyer","27474",37,2,18,36,13,0,34,7,7,"MIA",1.32432432432432,4.37837837837838
"59","ratcdc","Max Scherzer","3137",28,2,12,25,7,0,31,5,5,"TEX",1.14285714285714,3.85714285714286
"60","ratcdc","Merrill Kelly","11156",39,2,17,35,13,0,37,6,6,"ARI",1.23076923076923,3.92307692307692
"61","ratcdc","Marcus Stroman","13431",42,3,20,42,15,0,34,7,7,"NYY",1.35714285714286,4.28571428571429
"62","ratcdc","Brandon Pfaadt","27782",39,2,18,38,9,0,37,7,7,"ARI",1.20512820512821,4.15384615384615
"63","ratcdc","Bryce Miller","29837",38,2,17,34,9,0,35,6,6,"SEA",1.13157894736842,4.02631578947368
"64","ratcdc","Charlie Morton","4676",44,3,21,41,18,0,46,8,8,"ATL",1.34090909090909,4.29545454545455
"65","ratcdc","Gavin Williams","30122",37,2,16,33,15,0,37,7,7,"CLE",1.2972972972973,3.89189189189189
"66","ratcdc","Aaron Civale","19479",38,2,18,36,11,0,35,7,7,"MIL",1.23684210526316,4.26315789473684
"67","ratcdc","MacKenzie Gore","22201",35,2,16,33,14,0,38,7,7,"WSN",1.34285714285714,4.11428571428571
"68","ratcdc","Andrew Abbott","29911",39,2,20,37,15,0,38,7,7,"CIN",1.33333333333333,4.61538461538461
"69","ratcdc","Ryan Pepiot","26221",37,2,16,31,13,0,39,9,6,"TBR",1.18918918918919,3.89189189189189
"70","ratcdc","Nick Martinez","12730",35,2,17,36,11,0,30,9,6,"CIN",1.34285714285714,4.37142857142857
"71","ratcdc","Alex Cobb","6562",27,1,11,27,8,0,24,5,5,"CLE",1.2962962962963,3.66666666666667
"72","ratcdc","Justin Verlander","8700",34,2,16,31,9,0,30,6,6,"HOU",1.17647058823529,4.23529411764706
"73","ratcdc","José Berríos","14168",44,3,21,42,12,0,38,7,7,"TOR",1.22727272727273,4.29545454545455
"74","ratcdc","Jared Jones","27863",31,2,14,28,11,0,31,6,6,"PIT",1.25806451612903,4.06451612903226
"75","ratcdc","Jose Quintana","11423",40,2,19,40,14,0,34,7,7,"NYM",1.35,4.275
"76","ratcdc","Mason Miller","31757",15,1,5,10,6,7,22,15,0,"OAK",1.06666666666667,3
"77","ratcdc","Frankie Montas","14309",36,2,18,36,13,0,33,7,7,"MIL",1.36111111111111,4.5
"78","ratcdc","Emmanuel Clase","21032",16,1,5,14,3,8,15,16,0,"CLE",1.0625,2.8125
"79","ratcdc","Joe Musgrove","12970",32,2,14,30,8,0,31,6,6,"SDP",1.1875,3.9375
"80","ratcdc","Miles Mikolas","9803",43,2,21,46,9,0,29,7,7,"STL",1.27906976744186,4.3953488372093
"81","ratcdc","Kyle Gibson","10123",42,2,21,43,15,0,35,7,7,"STL",1.38095238095238,4.5
"82","ratcdc","Robbie Ray","11486",37,2,17,33,13,0,41,9,6,"SFG",1.24324324324324,4.13513513513514
"83","ratcdc","Matt Waldron","25550",38,2,18,37,11,0,31,6,6,"SDP",1.26315789473684,4.26315789473684
"84","ratcdc","Yoshinobu Yamamoto","33825",17,1,6,14,4,0,18,3,3,"LAD",1.05882352941176,3.17647058823529
"85","ratcdc","Carson Spiers","27685",37,2,20,38,14,0,31,9,6,"CIN",1.40540540540541,4.86486486486486
"86","ratcdc","Luis Severino","15890",40,2,20,39,13,0,35,7,7,"NYM",1.3,4.5
"87","ratcdc","Jordan Montgomery","16511",35,2,16,36,10,0,28,6,6,"ARI",1.31428571428571,4.11428571428571
"88","ratcdc","Jameson Taillon","11674",40,2,20,40,10,0,33,7,7,"CHC",1.25,4.5
"89","ratcdc","Bryan Woo","30279",28,2,12,25,8,0,28,7,5,"SEA",1.17857142857143,3.85714285714286
"90","ratcdc","Edwin Díaz","14710",15,1,5,11,5,8,21,15,0,"NYM",1.06666666666667,3
"91","ratcdc","Casey Mize","20492",28,1,13,28,8,0,22,5,5,"DET",1.28571428571429,4.17857142857143
"92","ratcdc","Andrew Heaney","15423",34,2,17,33,11,0,35,7,7,"TEX",1.29411764705882,4.5
"93","ratcdc","Simeon Woods Richardson","24494",33,2,17,32,13,0,28,6,6,"MIN",1.36363636363636,4.63636363636364
"94","ratcdc","Walker Buehler","19374",33,2,15,32,9,0,29,6,6,"LAD",1.24242424242424,4.09090909090909
"95","ratcdc","Tyler Anderson","12880",44,2,23,43,15,0,34,7,7,"LAA",1.31818181818182,4.70454545454545
"96","ratcdc","Hunter Greene","22182",21,1,10,18,8,0,26,4,4,"CIN",1.23809523809524,4.28571428571429
"97","ratcdc","David Peterson","20302",33,2,15,32,14,0,33,9,6,"NYM",1.39393939393939,4.09090909090909
"98","ratcdc","Grayson Rodriguez","24492",21,1,9,18,7,0,22,4,4,"BAL",1.19047619047619,3.85714285714286
"99","ratcdc","Bobby Miller","27483",30,2,13,27,9,0,28,12,4,"LAD",1.2,3.9
"100","ratcdc","Kenta Maeda","18498",35,2,18,35,10,0,32,9,6,"DET",1.28571428571429,4.62857142857143
"101","ratcdc","Cooper Criswell","24975",29,2,15,31,8,0,23,9,4,"BOS",1.3448275862069,4.6551724137931
"102","ratcdc","David Festa","30056",28,1,14,27,11,0,29,8,5,"MIN",1.35714285714286,4.5
"103","ratcdc","Kyle Harrison","27758",36,2,16,32,15,0,36,7,7,"SFG",1.30555555555556,4
"104","ratcdc","Jake Irvin","21504",37,2,18,35,12,0,31,7,7,"WSN",1.27027027027027,4.37837837837838
"105","ratcdc","Josh Hader","14212",15,1,5,11,6,7,22,15,0,"HOU",1.13333333333333,3
"106","ratcdc","Paul Blackburn","14739",36,2,18,37,12,0,30,7,7,"NYM",1.36111111111111,4.5
"107","ratcdc","Clay Holmes","13649",15,1,5,14,5,7,16,15,0,"NYY",1.26666666666667,3
"108","ratcdc","Jhoan Duran","21029",15,1,5,12,5,6,18,15,0,"MIN",1.13333333333333,3
"109","ratcdc","Reid Detmers","27468",22,1,10,21,8,0,24,4,4,"LAA",1.31818181818182,4.09090909090909
"110","ratcdc","Colin Rea","12317",41,2,21,40,13,0,33,7,7,NA,1.29268292682927,4.60975609756098
"111","ratcdc","Edward Cabrera","21690",36,2,17,31,19,0,39,7,7,"MIA",1.38888888888889,4.25
"112","ratcdc","Dean Kremer","19350",36,2,18,35,12,0,32,6,6,"BAL",1.30555555555556,4.5
